reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,,,UBS Tax-Free Investor Fund,S000018681,Other Tax Exempt,UBS Tax-Free Investor Fund,C000051804,,SFRXX,
31-Oct-17,814079,Funds For Institutions Series,BlackRock Select Treasury Strategies Institutional Fund,S000019095,Exempt Government,BlackRock Select Treasury Strategies Institutional Fund,C000052801,"BlackRock Advisors, LLC",,
31-Oct-17,,,State Street Institutional Treasury Money Market Fund,S000019117,Exempt Government,Premier Class,C000052877,,TRIXX,
31-Oct-17,,,State Street Institutional Treasury Money Market Fund,S000019117,Exempt Government,Investment Class,C000052878,,TRVXX,
31-Oct-17,,,State Street Institutional Treasury Money Market Fund,S000019117,Exempt Government,Investor Class,C000143782,,SSNXX,
31-Oct-17,,,State Street Institutional Treasury Plus Money Market Fund,S000019118,Exempt Government,Investment Class,C000052879,,TPVXX,
31-Oct-17,,,State Street Institutional Treasury Plus Money Market Fund,S000019118,Exempt Government,Premier Class,C000052880,,TPIXX,
31-Oct-17,,,State Street Institutional Treasury Plus Money Market Fund,S000019118,Exempt Government,Investor Class,C000143784,,SAEXX,
31-Oct-17,,,State Street Institutional Treasury Plus Money Market Fund,S000019118,Exempt Government,Trust Class,C000172254,,TPLXX,
31-Oct-17,1403166,Master Trust,Prime Master Fund,S000019502,Prime,Prime Master Fund,C000054151,"UBS ASSET MANAGEMENT (AMERICAS), INC.",,
31-Oct-17,1403166,Master Trust,Treasury Master Fund,S000019503,Exempt Government,Treasury Master Fund,C000054152,"UBS ASSET MANAGEMENT (AMERICAS), INC.",,
31-Oct-17,1403166,Master Trust,Tax-Free Master Fund,S000019504,Other Tax Exempt,Tax-Free Master Fund,C000054153,"UBS ASSET MANAGEMENT (AMERICAS), INC.",,
31-Oct-17,1413032,Columbia Funds Variable Series Trust II,Columbia Variable Portfolio - Government Money Market Fund,S000019849,Exempt Government,Columbia VP - Government Money Market Fund Class 3,C000055686,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",,
31-Oct-17,1413032,Columbia Funds Variable Series Trust II,Columbia Variable Portfolio - Government Money Market Fund,S000019849,Exempt Government,Columbia VP - Government Money Market Fund Class 1,C000088773,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",,
31-Oct-17,1413032,Columbia Funds Variable Series Trust II,Columbia Variable Portfolio - Government Money Market Fund,S000019849,Exempt Government,Columbia VP - Government Money Market Fund Class 2,C000088774,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",,
